,August 2025
Agnostic,90
Atheist,120
Buddhism (cultural),1
Buddhism (practicing),1
Christianity (cultural),31
Christianity (practicing),8
Hindu (cultural),3
Hindu (practicing),1
Islam (cultural),7
Islam (practicing),13
Judaism (cultural),1
Judaism (practicing),0
Sikhism (cultural),0
Sikhism (practicing),1
Other,7
