,August 2025
194-200cm / 6′5″-6′7″,5
188-193cm / 6′3″-6′4″,17
183-187cm / 6′-6′2″,57
174-182cm / 5′9″-5′11″,96
168-173cm / 5′6″-5′8″,72
155-167cm / 5′1″-5′5″,32
137-154cm / 4′6″-5′,6
