,August 2025
Anarchist,11
Maoist,12
Marxist-Leninist,30
Marxist,27
Trotskyist,2
Leftist (Other),8
Leftist (Unspecified),180
Democratic Socialist,1
Socdem,8
Centrist,1
Apolitical,1
Other,2
